target image path,labels,class,anchors
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/72.jpg,!0 0.08977576888888888 0.4393925250737463 0.09299128 0.19196285545722713!0 0.21395012444444444 0.40768646017699117 0.16924614666666665 0.3253009498525074!0 0.4309210488888889 0.36953393510324484 0.22911512444444443 0.4693593097345133!0 0.7017105444444445 0.3428818495575221 0.10757261333333334 0.18807238348082594!0 0.8410815044444444 0.29498674041297934 0.2592761066666667 0.533784353982301,Face,5
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/76.jpg,!0 0.4596364583333334 0.3148722222222222 0.42217569444444447 0.39769644444444446,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/80.jpg,!0 0.1648412538975501 0.6181694615384615 0.15706220044543429 0.3660510769230769!0 0.208061991091314 0.3614472474916388 0.04913673942093541 0.09780755183946489!0 0.4963921559020045 0.465272558528428 0.12343755011135857 0.25546503010033444!0 0.9083958307349667 0.39475702675585284 0.14627435189309576 0.2977227558528428!0 0.7912201135857462 0.40912277591973245 0.09945605345211582 0.22113172575250836!0 0.8235539532293987 0.27164426421404686 0.05495855233853007 0.12892555183946489!0 0.6721969376391982 0.2857673712374582 0.055399848552338524 0.10960124414715719,Face,7
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/84.jpg,!0 0.23729729024390242 0.3465225589225589 0.20593756097560975 0.4312929292929293!0 0.1265390243902439 0.27245454545454545 0.1547058536585366 0.34059595959595956!0 0.4405587804878049 0.15131077441077442 0.056791219512195124 0.11286464646464647!0 0.7037911975609756 0.4680094276094276 0.1889190243902439 0.3770289562289562,Face,4
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/88.jpg,!0 0.4371509966777408 0.3710961333333333 0.6533218870431894 0.6050652888888889,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/92.jpg,!0 0.46951793939393943 0.3810842222222222 0.5616518518518518 0.5773395555555555,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/96.jpg,!0 0.5887204359673024 0.4371575555555556 0.3820550408719346 0.5152024755555555,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/100.jpg,!0 0.1402280943877551 0.34362572888888887 0.21183777551020408 0.2764495822222222!0 0.2736887602040816 0.26373511111111114 0.2182704081632653 0.32464577777777776!0 0.6521654668367347 0.31727992222222223 0.26609308163265305 0.3025174666666667,Face,3
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/104.jpg,!0 0.5647941382636656 0.216134 0.31693890675241154 0.36869999999999997,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/108.jpg,!0 0.5642582350746268 0.4208594222222222 0.7155195447761195 0.6499888666666666,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/112.jpg,!0 0.526843286231884 0.18675296213808462 0.2877516086956522 0.299910864142539,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/116.jpg,!0 0.5488897288888889 0.34868256880733944 0.31293228 0.6279530336391438,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/120.jpg,!0 0.35883092731829574 0.22424345333333334 0.2957393483709273 0.38102168444444445!0 0.09954961654135339 0.1582695266666667 0.09523809523809523 0.12370416!0 0.7712963984962405 0.1829010488888889 0.12531328320802004 0.16153115555555556,Face,3
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/124.jpg,!0 0.20651433021806853 0.47039 0.23515451713395638 0.24321244444444445!0 0.47233489096573206 0.19272888888888887 0.1891190031152648 0.2034413333333333!0 0.7703619937694705 0.3187791111111111 0.2878311526479751 0.28112933333333334,Face,3
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/128.jpg,!0 0.6186159379844961 0.31624072444444445 0.3030021782945736 0.23672268,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/132.jpg,!0 0.46381438278931747 0.6082576733333334 0.040469234421364984 0.04558581777777778!0 0.5489614243323442 0.6033333333333334 0.04154302670623145 0.04888888888888889!0 0.6321167537091988 0.6243752688888888 0.04454502077151336 0.045032422222222215,Face,3
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/136.jpg,!0 0.5267247394209353 0.30194573243243245 0.25395387082405346 0.47324317837837837,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/140.jpg,!0 0.6203202463343108 0.6735764911111111 0.3968508680351906 0.45089659111111113,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/144.jpg,!0 0.20938015143603134 0.2150582577777778 0.15374854830287207 0.18291481777777777!0 0.4956353498694517 0.22331597555555555 0.1819128146214099 0.2518671511111111!0 0.7195222950391645 0.1384433888888889 0.15988362924281985 0.2059804088888889,Face,3
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/148.jpg,!0 0.47736214666666665 0.49652696444444444 0.6066182222222223 0.87735144,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/152.jpg,!0 0.3366090659340659 0.3499426666666667 0.27085 0.35719288888888884!0 0.6760255494505494 0.21204955555555557 0.26055439560439564 0.34541866666666665,Face,2
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/156.jpg,!0 0.4770868 0.1950364621026895 0.4171416 0.3513246797066014,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/160.jpg,!0 0.480528729281768 0.14921044444444445 0.2198 0.24674044444444443,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/164.jpg,!0 0.49194760000000004 0.14616601466992665 0.2521456 0.24818924205378973!0 0.843664 0.12053325183374082 0.1247408 0.1193838630806846,Face,2
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/172.jpg,!0 0.35142547777777783 0.4345671699164345 0.2287041288888889 0.4948265515320334,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/176.jpg,!0 0.4392202333333333 0.4153950769230769 0.08487974666666667 0.19152123076923078!0 0.6931832155555556 0.4623113907692308 0.13497599999999998 0.2902072615384615,Face,2
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/180.jpg,!0 0.5718824324324324 0.6204713333333334 0.6706283783783784 0.6120182222222222,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/184.jpg,!0 0.5230344615384616 0.298990243902439 0.3642941538461539 0.4382039024390244,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/188.jpg,!0 0.5746197393939394 0.3557630622222222 0.4291742242424243 0.4222811066666667,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/192.jpg,!0 0.6244055567765567 0.27360466014669926 0.449538336996337 0.46534893887530565,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/196.jpg,!0 0.5138264864864865 0.2890106666666667 0.3748848648648649 0.44049466666666665,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/200.jpg,!0 0.573103779661017 0.5628702377777778 0.31028206101694916 0.3445446888888889,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/204.jpg,!0 0.3482866666666667 0.2221887240356083 0.19555555555555557 0.37674896142433234!0 0.6972942222222223 0.24037091988130563 0.17648711111111112 0.34452284866468846,Face,2
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/208.jpg,!0 0.5086429699699699 0.19527060666666668 0.3003003003003003 0.30198760444444445,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/212.jpg,!0 0.4949078227424749 0.25686182888888887 0.4071208160535117 0.4356673155555556,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/216.jpg,!0 0.3526294777777778 0.2540164268867925 0.23643347555555558 0.38235472169811324,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/220.jpg,!0 0.4826097060367454 0.20134547777777775 0.19491961154855642 0.2610540488888889!0 0.4819684750656168 0.4632042822222222 0.20518181102362207 0.23715547555555558,Face,2
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/224.jpg,!0 0.27899502369668244 0.1953128888888889 0.18980616113744078 0.27940355555555557!0 0.7117469194312795 0.4471644444444444 0.2065341232227488 0.2614613333333333,Face,2
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/228.jpg,!0 0.40944246987951805 0.5135848888888889 0.24185843373493976 0.23830444444444443,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/232.jpg,!0 0.26156227111111113 0.17298940897097623 0.17222888444444445 0.3071878416886544!0 0.5414901955555556 0.4833582058047493 0.17159563111111112 0.28129630079155676!0 0.6430880333333333 0.21621380211081795 0.17190528 0.30098597361477575,Face,3
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/236.jpg,!0 0.47704534593023257 0.39810456222222224 0.5741865930232558 0.7223955377777778,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/240.jpg,!0 0.48921679268292684 0.3280804533333333 0.5154419390243903 0.6095861288888889,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/244.jpg,!0 0.48210444277108433 0.2756667822222222 0.3700468313253012 0.4644022355555556,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/248.jpg,!0 0.27778194 0.40041849842271293 0.1611452177777778 0.3867303848580442!0 0.7320694444444444 0.29648407255520504 0.21285493333333333 0.5145997981072555,Face,2
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/252.jpg,!0 0.380933606557377 0.3243431111111111 0.2896174863387978 0.38222222222222224!0 0.5985308743169399 0.5330691111111111 0.22404371584699453 0.20829333333333333!0 0.6475980218579235 0.2388680111111111 0.09836065573770492 0.11258545777777777,Face,3
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/256.jpg,!0 0.4903605504587156 0.4578060975609756 0.37557003058103977 0.4449960975609756,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/260.jpg,!0 0.5054088235294117 0.3051926888888889 0.4464843137254902 0.470776,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/264.jpg,!0 0.4620404310954064 0.34370483296213805 0.6846625795053004 0.5997780400890869,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/268.jpg,!0 0.22461247555555555 0.3323008466076696 0.19112666666666667 0.4097256460176991!0 0.4710062222222222 0.25516205309734513 0.19548 0.38390141002949846!0 0.8333871866666667 0.4104359646017699 0.1729888888888889 0.3672253274336283,Face,3
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/272.jpg,!0 0.4421974210526316 0.4623692177777778 0.6819578947368421 0.7821876355555556,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/276.jpg,!0 0.6325051822222223 0.2906099693593315 0.23154336444444443 0.48568952646239555,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/280.jpg,!0 0.5702311666666667 0.4633378574610245 0.7117021609195402 0.8071227572383074,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/284.jpg,!0 0.4031004383561644 0.3210674088888889 0.44351227397260273 0.46160555555555555,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/288.jpg,!0 0.46436993555555556 0.3127190883190883 0.1698497777777778 0.38743817663817665,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/292.jpg,!0 0.3564018167115903 0.38262312000000004 0.5883349110512129 0.7277588533333333!0 0.5503466576819407 0.6038691644444445 0.5212602533692722 0.5964281733333333,Face,2
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/296.jpg,!0 0.5446966244444444 0.3841848994252874 0.14842056444444443 0.2982154712643678!0 0.40438179111111106 0.23700882183908045 0.17105985333333334 0.3136580517241379!0 0.21821650888888888 0.17077250862068966 0.13263886666666666 0.2838995287356322!0 0.3004687155555556 0.14488919252873564 0.14202338666666667 0.2824343275862069!0 0.62079244 0.18052595977011493 0.1319289422222222 0.26570931609195403,Face,5
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/300.jpg,!0 0.5446217008797655 0.43860935412026725 0.6716709677419356 0.7172534521158129,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/304.jpg,!0 0.41802690355329947 0.15687577777777778 0.1655263959390863 0.20658800000000002!0 0.7331591370558377 0.1592268888888889 0.19421319796954314 0.2526111111111111!0 0.9198505076142133 0.2302048888888889 0.13223299492385787 0.15971333333333332!0 0.13518629441624364 0.43996 0.07467918781725888 0.10328088888888888,Face,4
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/308.jpg,!0 0.4678144066666666 0.34699068167202574 0.16444444444444445 0.3709557427652733!0 0.802744 0.6014257331189711 0.16204444444444444 0.3538071382636656,Face,2
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/312.jpg,!0 0.4729064355828221 0.17823867037861915 0.1883382515337423 0.22873987527839645!0 0.7055238159509203 0.27695933184855237 0.16729251533742331 0.17495547884187082,Face,2
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/316.jpg,!0 0.5076164149659864 0.2873107511111111 0.4579624829931973 0.4267421244444444,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/320.jpg,!0 0.48472162162162163 0.19275099333333334 0.276667027027027 0.3107137777777778,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/324.jpg,!0 0.6280771781737193 0.295708927027027 0.25509220935412025 0.4419946540540541,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/328.jpg,!0 0.4897633666666667 0.44263681395348836 0.35773790666666666 0.7619221627906977,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/332.jpg,!0 0.40071120222222223 0.1639682739018088 0.12106548444444444 0.2319094677002584!0 0.5493249555555556 0.18512982945736436 0.09803018222222222 0.22902820671834626!0 0.9585718022222222 0.32497501291989667 0.054454626666666665 0.084568330749354!0 0.11302826222222223 0.15247216795865634 0.06123754222222222 0.10660237209302327,Face,4
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/336.jpg,!0 0.546933 0.2550151111111111 0.40066999999999997 0.40866844444444445,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/340.jpg,!0 0.45861643909348443 0.31004767555555557 0.2911358243626062 0.37119141777777775,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/344.jpg,!0 0.1406705822222222 0.5154196059701492 0.22814123111111112 0.4406938208955224!0 0.3912530977777778 0.2532982776119403 0.17339824888888888 0.36812148059701494!0 0.7199096088888889 0.5018018119402985 0.13993044000000002 0.2997321910447761!0 0.8913274888888889 0.20144263880597013 0.13699842666666667 0.2943279104477612,Face,4
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/348.jpg,!0 0.3812601627906977 0.17279078666666667 0.15802463720930232 0.27728047555555557!0 0.09543452325581395 0.35379389555555557 0.12698066976744188 0.18711248444444445!0 0.06675620697674418 0.20834006888888887 0.1184848 0.17016170222222224!0 0.7692150953488373 0.21448354 0.09111567906976743 0.17022773777777778,Face,4
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/352.jpg,!0 0.2709683377308707 0.547532888888889 0.4480459102902375 0.5897173288888888,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/356.jpg,!0 0.49254499999999996 0.3357977777777778 0.48774375000000003 0.5482053333333333,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/360.jpg,!0 0.43187209329446063 0.4162179555555556 0.2813657201166181 0.2918853155555555,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/364.jpg,!0 0.5299069457627119 0.3983057066666667 0.7323707322033898 0.7617733999999999,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/368.jpg,!0 0.5622772861356932 0.37181002222222226 0.5612313805309734 0.6444444444444445,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/372.jpg,!0 0.42184678917378915 0.22702772666666665 0.2786191794871795 0.32434071111111107,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/376.jpg,!0 0.5363806666666666 0.20686286549707603 0.16091333333333332 0.2895345029239766,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/380.jpg,!0 0.5252859016393443 0.6703688888888889 0.3050419672131148 0.29545822222222223,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/384.jpg,!0 0.5420152077922078 0.2833706195121951 0.306692683982684 0.25410696585365855,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/388.jpg,!0 0.5197803113553113 0.42706086666666665 0.2288080879120879 0.21402408444444446,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/392.jpg,!0 0.4743505092838196 0.36827054000000004 0.5348860212201592 0.7072915066666667,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/396.jpg,!0 0.41826594101876674 0.2022362911111111 0.28241717962466484 0.3364461777777778,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/400.jpg,!0 0.5175480365853659 0.21901175268817202 0.17073170731707318 0.3727598566308244,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/404.jpg,!0 0.6643448780487804 0.43549733333333335 0.3631517073170732 0.8174486666666667,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/408.jpg,!0 0.4541058282208589 0.46238955555555555 0.8159509202453987 0.816428,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/412.jpg,!0 0.5832535511111111 0.33338171745152356 0.31615333333333334 0.5538819944598338,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/416.jpg,!0 0.44684358333333335 0.3111597 0.6391259066666667 0.5748882133333334,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/420.jpg,!0 0.5868044498381877 0.2862365577777778 0.4160895404530744 0.43416646666666664,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/424.jpg,!0 0.44328839999999997 0.5708266999999999 0.4476120173913043 0.5246942133333333,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/428.jpg,!0 0.5283196666666666 0.25888377777777777 0.3639306666666666 0.363024,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/432.jpg,!0 0.6243575632183908 0.5869706146341463 0.31380346360153255 0.2970793658536585,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/436.jpg,!0 0.4354646551724138 0.19476024666666666 0.2557885057471264 0.28938227111111114!0 0.6752646551724137 0.23082244444444444 0.2623764367816092 0.3090248888888889,Face,2
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/440.jpg,!0 0.46388711111111114 0.27729647798742135 0.19474577777777777 0.43389256603773585,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/444.jpg,!0 0.4876951584507042 0.39206870222222223 0.5415066126760564 0.5514390133333333,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/448.jpg,!0 0.3520078098958333 0.21054075723830734 0.2643421875 0.3107732739420936,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/452.jpg,!0 0.42036171333333333 0.2529780840108401 0.13934672 0.2347072303523035!0 0.8140005244444444 0.2861172384823848 0.1382983111111111 0.28450766937669375,Face,2
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/456.jpg,!0 0.5475056818181818 0.1995937777777778 0.23863636363636365 0.2114191111111111,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/460.jpg,!0 0.4317391804008908 0.47407936513157894 0.3791484632516704 0.8782581710526315,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/464.jpg,!0 0.41319501466275654 0.22959422222222223 0.31085043988269795 0.3786204444444444,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/468.jpg,!0 0.5460805552238805 0.3277625555555556 0.4101694089552239 0.48082901333333333,Face,1
